Pagesize (bytes),Imagen (px),Mensaje (chars),# Marcos,# Hits,# Misses,% de Hits,% de Misses,Tiempo real (ns),Tiempo en RAM (ns),Tiempo en Swap (ns)
256,256,100,4,1745,5,99.71428571428571,0.2857142857142918,50043625,0.04375,17500.0
256,256,100,8,1745,5,99.71428571428571,0.2857142857142918,50043625,0.04375,17500.0
256,256,1000,4,17048,36,99.7892765160384,0.21072348396160123,360426200,0.4271,170840.0
256,256,1000,8,17048,36,99.7892765160384,0.21072348396160123,360426200,0.4271,170840.0
256,256,2000,4,34081,71,99.79210587959709,0.2078941204029121,710852025,0.8538,341520.0
256,256,2000,8,34081,71,99.79210587959709,0.2078941204029121,710852025,0.8538,341520.0
